,Address,Latitude,Longitude
1,"""215 Boulevard Bineau, 92200 Neuilly-sur-Seine, France""",48.8949966,2.2658471
2,"""30 Boulevard Georges Seurat, 92200 Neuilly-sur-Seine, France""",48.8949437,2.2687403
3,"""119 Rue Anatole France, 92300 Levallois-Perret, France""",48.8947385,2.2824356
4,"""1 Place de Verdun, 92300 Levallois-Perret, France""",48.89460500000000,2.2849823
5,"""7 Rue Jules Verne, 92300 Levallois-Perret, France""",48.8947295,2.2991964
6,"""15 Rue Pablo Neruda, 92300 Levallois-Perret, France""",48.8940361,2.3007323
7,"""113 Boulevard Bessières, 75017 Paris, France""",48.8948731,2.3157281
8,"""26 Rue Boulay, 75017 Paris, France""",48.8946462,2.3183847
9,"""40 Rue Vauvenargues, 75018 Paris, France""",48.89479680000000,2.3322078
10,"""9 Rue Désiré Ruggieri, 75018 Paris, France""",48.8946385,2.3353096
11,"""3 Passage Kracher, 75018 Paris, France""",48.894861,2.3490912
12,"""12 Rue des Amiraux, 75018 Paris, France""",48.8946635,2.3513211
13,"""2-8 Rue Tristan Tzara, 75018 Paris, France""",48.8944948,2.3660016
14,"""54 Rue de l'Évangile, 75018 Paris, France""",48.8946001,2.3679354
15,"""Corentin Cariou, 75019 Paris, France""",48.8948846,2.3824247
16,"""26 Avenue Corentin Cariou, 75019 Paris, France""",48.8949769,2.3852018
17,"""17 D115, 93500 Pantin, France""",48.9328069,2.4884879
18,"""3 Rue Florian, 93500 Pantin, France""",48.8947677,2.4018976
19,"""1 Place de la Pointe, 93500 Pantin, France""",48.89474330000000,2.4153991
20,"""79 Rue Edouard Nortier, 92200 Neuilly-sur-Seine, France""",48.8920529,2.2652372
21,"""32 bis Chaussée Jules César, 95600 Eaubonne, France""",48.9861695,2.2679858
22,"""54 Rue d'Enghien, 95600 Eaubonne, France""",48.9859466,2.2829951
23,"""53 Rue d'Enghien, 95600 Eaubonne, France""",48.9861136,2.2832642
24,"""18 Rue des Écoles, 95230 Soisy-sous-Montmorency, France""",48.9861109,2.2987161
25,"""8 Allée Didier Daurat, 95230 Soisy-sous-Montmorency, France""",48.9862647,2.3015695
26,"""32 Rue des Basserons, 95160 Montmorency, France""",48.98616520000000,2.3162691
27,"""11 Rue du Dr Millet, 95160 Montmorency, France""",48.9864897,2.3187622
28,"""23 Rue de Groslay, 95160 Montmorency, France""",48.9859733,2.3327608
29,"""55 Ruelle aux Loups, 95160 Montmorency, France""",48.9856585,2.3347322
30,"""8 Rue Claude Warocquier, 95410 Groslay, France""",48.9863015,2.3486848
31,"""35 Rue Pasteur, 95410 Groslay, France""",48.9863692,2.3516565
32,"""2 Magnier Bédu, 95410 Groslay, France""",48.9864895,2.3661242
33,"""241 Allée du Mont de Sarcelles, 95200 Sarcelles, France""",48.9858925,2.3678404
34,"""43 D125, 95200 Sarcelles, France""",48.9849825,2.3829515
35,"""3 Rue du Vignolle, 95200 Sarcelles, France""",48.9872956,2.3863062
36,"""16 Rue du Vieil Armand, 95200 Sarcelles, France""",48.9861298,2.3986715
37,"""12 Avenue Boieldieu, 95400 Arnouville, France""",48.9859873,2.4023639
38,"""40 Avenue Henri Barbusse, 95400 Arnouville, France""",48.9860868,2.4156426
39,"""2 Rue des Tartres, 95110 Sannois, France""",48.9721811,2.2651634
40,"""3 Rue de la Concorde, 95110 Sannois, France""",48.9723725,2.2684694
41,"""11 Avenue Simon Hayem, 95210 Saint-Gratien, France""",48.9723707,2.2825346
42,"""1 Avenue Lacour, 95210 Saint-Gratien, France""",48.9724792,2.2850721
43,"""12 Rue Regina, 95880 Enghien-les-Bains, France""",48.9735036,2.2965258
44,"""11 Rue du Dr Leray, 95880 Enghien-les-Bains, France""",48.9719948,2.3035266
45,"""1 B Rue Barthélémy, 95160 Montmorency, France""",48.9724036,2.3158446
46,"""41 Rue Jules Massenet, 95170 Deuil-la-Barre, France""",48.9727919,2.3180173
47,"""3 Rue de la Sourde, 95170 Deuil-la-Barre, France""",48.9721815,2.3323387
48,"""16 Rue Guynemer, 95170 Deuil-la-Barre, France""",48.97297700000000,2.336099
49,"""1B Rue Robert Foulon, 95360 Montmagny, France""",48.9724142,2.3491122
