CAR_ID,MODEL,PRICE,DISTANCE,SCRAPED_DATE,STARTING_DATE,CAR_DETAIL
438720,Opel Corsa Boîte auto,101€,720m,2020-06-05 17:36:15.851755,2020-06-06,/cars/438720/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
607772,Audi A3,143€,860m,2020-06-05 17:36:15.851755,2020-06-06,/cars/607772/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
622768,Renault Mégane Estate Automatique,70€,"1,85km",2020-06-05 17:36:15.851755,2020-06-06,/cars/622768/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
649976,Citroen DS3 Crossback CARPLAY ANDROID AUTO BLUETOOTH,78€,"2,24km",2020-06-05 17:36:15.851755,2020-06-06,/cars/649976/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
638493,Fiat 500 Nero,81€,"2,39km",2020-06-05 17:36:15.851755,2020-06-06,/cars/638493/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
257791,"Fiat Panda 2017 5p (clim, Bluetooth,...) - BOULOGNE CENTRE #ab",107€,"2,69km",2020-06-05 17:36:15.851755,2020-06-06,/cars/257791/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
574849,Fiat 500 Grigio,81€,"2,84km",2020-06-05 17:36:15.851755,2020-06-06,/cars/574849/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
601239,Fiat 500 Boite Automatique,101€,"2,98km",2020-06-05 17:36:15.851755,2020-06-06,/cars/601239/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
605497,Renault Clio FF336SH,112€,"2,98km",2020-06-05 17:36:15.851755,2020-06-06,/cars/605497/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
336907,Renault Clio 1.5 dCi  GPS DW129CC,111€,"2,98km",2020-06-05 17:36:15.851755,2020-06-06,/cars/336907/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
